Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20151026,17649.57,17602.51,116658091,246.9009729,182.5654578,58.19,17082.11672,17273.953,407.08,17428.926,572.3,3.356450596,0.030707511,7403966.333,96.8048,0.12
20151027,17608.89,17540.57,115182837,254.8125354,127.6960578,94.61,17129.67036,17323.907,350.89,17501.79,496.94,2.908720132,0.037350773,7387345.471,96.8792,0.12
20151028,17586.69,17556.71,115625818,273.9092577,131.1055755,223.24,17191.5608,17409.384,562.41,17623.972,647.66,3.78044182,0.035871047,8669316.97,97.6195,0.12
20151029,17771.5,17684.72,90301305,283.8574104,114.7791765,101.28,17245.29787,17470.789,587.19,17677.3,673.91,3.945172343,0.030403023,7978358.489,97.2199,0.12
20151030,17756.6,17662.87,149246272,281.0569328,89.26339103,137.09,17285.13045,17515.546,174.38,17680.668,738.79,4.365145719,0.024513772,8279903.389,96.8961,0.07
20151102,17672.62,17655.02,100841495,288.8398415,92.07951394,190.88,17336.9047,17575.368,182.06,17721.81,687.01,4.007817172,0.034306929,8779654.051,96.9097,0.12
20151103,17819.74,17796.02,92285187,298.776766,110.3068677,181.83,17392.26139,17645.472,295.1,17789.154,702.18,4.078654877,0.041831327,7899839.795,97.1675,0.12
20151104,17929.58,17828.83,99893534,299.1231682,99.13362489,135.29,17437.52983,17715.369,286.15,17806.766,637.04,3.697156328,0.021179141,7468828.607,97.8856,0.12
20151105,17871.25,17779.19,98908878,295.6547008,84.84366515,150.32,17478.09175,17752.796,83.91,17828.292,646.32,3.753940121,0.012132608,6778955.087,97.9926,0.12
20151106,17855.22,17768.6,107451638,293.3092667,80.36341311,143.44,17519.2573,17779.159,154.53,17877.65,741.72,4.320209965,0.016039905,6009748.281,99.1658,0.12
20151109,17900.78,17667.78,121206957,273.7821117,36.03071471,242.55,17539.37375,17789.902,66.94,17857.994,241.32,1.379826132,0.008406428,4960858.593,99.0496,0.12
20151110,17724.13,17657.72,108643007,257.5751143,1.808475973,110.94,17560.2153,17807.58,-70.55,17826.006,111.51,0.631902849,-0.00119857,4671101.155,99.1696,0.12
20151111,17769.5,17696.91,95226877,237.4755566,-12.37463858,110.27,17573.73955,17799.85,-215.93,17792.934,79.17,0.449241193,-0.003017606,3424790.714,98.9696,0.12
20151112,17691.93,17443.5,113658889,198.7476917,-171.6793797,258.72,17561.77102,17769.077,-419.51,17709.862,-133.36,-0.758527606,-0.012198574,1939568.423,98.5095,0.12
20151113,17439.25,17238.89,134640975,149.9602455,-250.9345583,209.18,17531.62521,17727.247,-618.19,17576.844,-534.28,-3.005030507,-0.032729141,154270.855,99.1003,0.12
20151116,17229.94,17210.43,137592238,128.9949216,-164.2308309,272.58,17526.99519,17692.672,-427.32,17527.35,-272.79,-1.536343054,-0.024284873,1659154.191,99.3841,0.13
