Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
20081023,13596.3096,13403.3496,354592.28,-1315.188982,-142.5116148,863.25,16200.20629,15211.621,-2237.8096,14589.0959,-3043.2696,-18.11064688,-0.070040481,-174446.6646,84.83,0.42
20081024,13478.6299,12618.3799,353891.56,-1439.453996,-182.2912228,1142.1103,15859.07997,14993.77198,-2612.1396,14201.92988,-2813.3506,-18.23094694,-0.226443356,-732336.0938,86.53,0.42
20081027,12372.75,10676.29,483442.32,-1648.246548,-225.4262684,2060.5596,15397.819,14464.13994,-3538.3702,13340.49588,-4927.4004,-30.90589076,-0.345576086,-1457259.394,87.15,0.42
20081028,11154.5703,11133.9404,581094.04,-1666.971221,-140.6307766,1580.4502,15131.00671,14040.48085,-2726.7198,12851.5199,-2200.5801,-14.87192957,-0.212648209,-763527.6697,86.15,0.42
20081029,12807.3496,12333.9404,418364.16,-1654.20641,-83.80999323,973.4795,14899.67943,13710.8579,-2339.0996,12538.61404,-3610.0899,-22.13128032,-0.166012013,-627722.0209,84.48,0.42
20081030,13280.4404,13280.4404,533828.96,-1495.502796,-17.65641245,1627.7793,14845.40993,13620.79091,63.25,12652.48592,-2503.0313,-14.86989253,-0.015415498,-97627.45653,84.53,0.42
20081031,13845.79,13517.4199,353120.88,-1382.931645,-17.17576865,812.4297,14761.91088,13562.2369,208.1797,12922.54392,-2029.6299,-12.68653498,-0.088386023,4888.536312,85.59,0.42
20081103,14436.0303,14272.1699,297127.1,-1249.004584,31.80884799,920.46,14722.14509,13464.37293,1725.9902,13588.24998,-886.1494,-5.818248025,-0.04632617,59459.11829,86.3,0.38
20081104,14337.6201,13853.1602,238790.18,-1126.653839,28.39593888,686.4296,14689.97316,13398.68992,3368.5,13945.85994,-169.8702,-1.167155071,0.008185304,310569.5367,84.74,0.38
20081105,15045.5303,14750.04,345887.28,-981.593891,80.98119145,933.4903,14704.27668,13456.04598,2243.8702,14373.47792,-482.8496,-3.151140711,0.072753258,-28403.63063,84.57,0.38
20081106,14081.7598,13674.0703,273908.36,-940.526952,3.720576934,1166.0899,14617.20652,13459.00096,1087.9697,14265.516,-1251.1299,-8.31803582,0.084964228,-353389.9373,86.222,0.38
20081107,13273.0898,13273.0898,275032.52,-861.4659047,17.67781215,981.1299,14581.60873,13621.50594,-86.4199,14320.46796,-23.1699,-0.162406605,0.226602017,9354.412423,86.09,0.38
20081110,15033.1797,14453.6201,280104.98,-749.724431,93.21880312,904.5303,14597.13456,13994.38495,775.96,14400.51992,984.1397,7.151923265,0.14570321,67596.08184,85.87,0.38
20081111,14322.9502,13926.71,245377.92,-709.7717901,51.81855412,927.1201,14544.15988,14138.84599,-303.4697,14331.83204,1422.5205,11.27340048,0.095352154,329147.2025,87.04,0.38
20081112,14155.2598,13626.3096,207150,-678.5029394,21.58594932,629.75,14486.53415,14262.54794,-445.25,14151.61796,2923.25,26.53678751,-0.027268939,-8081.460128,87.43,0.38
20081113,13068.9297,12943.1104,281372.96,-703.5279533,-46.6126551,995.9794,14366.04039,14151.69794,-1618.8106,14037.87988,625.0596,4.962251584,-0.053499747,18735.45853,86.9,0.38
20081114,13749.5303,13493.8604,218273.92,-689.4854183,-32.45884181,528.1807,14287.62323,14109.09697,-247.3798,13897.72598,840.5899,6.617739315,-0.055890213,-464740.0515,86.32,0.38
20081117,13584.3496,13277.6396,160462.66,-671.6734479,-68.63226542,460.4805,14215.4239,14027.61299,-713.8994,13654.70606,-800.3193,-5.584980459,-0.059426398,-247059.5983,86.76,0.38
20081118,13298.8799,12676.2803,248900.44,-699.0151971,-157.4662616,853.25,14091.65873,13880.76797,-1828.7403,13429.7039,-1052.7803,-7.536725454,-0.12966643,-143987.941,87.11,0.38
20081119,12827.3701,12738.5303,206079.82,-720.4551818,-136.3550184,440.7998,13970.14835,13678.33193,-1225.1006,13205.0459,-1528.5703,-10.65623858,-0.070648105,-371508.8873,87.46,0.38
20081120,12170.9805,11976.8799,309610.32,-770.3039016,-172.7243063,838.9199,13810.94943,13529.18389,-1640.5302,13020.4879,-2085.7802,-14.50035406,-0.13654507,30563.00738,88.22,0.38
