Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20150203,3388.6,3360.72,1928460.96,31.47504844,-80.54354488,87.749,3475.286026,3510.4062,-170.54,3446.5832,-197.701,-5.438598615,-0.031401412,1143239463,89.72,8.48
20150204,3446.14,3399.57,1913043.49,22.77069697,-59.2979085,77.252,3468.284309,3495.6945,-173.163,3421.8722,46.613,1.38929498,-0.046486264,1001586039,90.08,8.31
20150205,3487.95,3366.86,2504306.09,12.9137299,-66.70349467,121.089,3458.633041,3475.6278,-158.377,3398.9018,-29.276,-0.862016676,-0.057335209,476728373.9,89.91,8.19
20150206,3352.33,3285.94,1926641.86,0.694217461,-132.08778,88.116,3444.70799,3449.6966,-169.378,3374.5078,-236.465,-6.663078685,-0.081919686,99810241.04,90.03,7.55
20150209,3305.73,3298.6,1723538.2,-6.214941485,-110.7716545,77.929,3435.299705,3423.4902,-88.469,3372.9,-221.692,-6.214014805,-0.064059978,45595796.28,90.19,8.35
20150210,3345.08,3339.55,1593090.88,-6.689422806,-63.44495518,67.632,3432.599067,3406.6914,52.983,3366.7996,-164.789,-4.61370002,-0.033579902,85965561.94,89.97,8.35
20150211,3415.98,3412.14,1446137.72,-4.816649793,-18.78806223,38.712,3432.744298,3397.5715,-3.321,3373.2708,-173.861,-4.818783892,-0.013692351,412674495.5,90.27,9.01
20150212,3435.36,3405.63,1560816.91,-2.596481195,-7.194535645,47.955,3433.709032,3393.6791,41.106,3388.4564,-132.057,-3.693973394,0.00246422,439069547.9,90.27,8.3
20150213,3458.83,3452.08,2010899.71,1.322733304,57.20104819,66.631,3437.148934,3397.2229,102.882,3419.938,-55.495,-1.574181997,0.03339301,525794704.6,91.15,8.3
20150216,3473.29,3466.61,1656413.43,6.743910096,91.02856775,37.868,3443.085511,3411.7752,187.063,3450.6504,17.685,0.507927226,0.017727762,614729883.5,91.42,8.04
20150217,3511.54,3511.09,1653283.13,12.73633168,144.2880289,37.337,3450.631844,3420.2629,176.401,3473.7262,87.932,2.560338226,0.034225718,737044593.7,91.61,8.28
20150225,3529.55,3463.96,1655393.51,13.80860123,93.46460233,65.595,3453.307763,3427.959,71.786,3482.6472,124.769,3.720050329,0.032133288,408935362.5,91.9892,8.17
20150226,3473.71,3456.87,2293284.38,21.47665741,129.7869304,112.459,3464.068452,3447.8939,132.171,3507.3314,128.85,3.748423611,0.071187325,510010767.4,92.2916,8.21
20150227,3565.23,3560.46,2227864.38,27.76199308,147.5027468,34.358,3474.427933,3473.9362,129.969,3527.9344,171.075,5.029002566,0.063513006,675997072.2,91.9444,8.05
20150302,3603.45,3566.53,2481761.25,34.63730743,133.0281982,42.164,3486.507654,3499.4706,131.437,3548.2908,234.319,6.959392874,0.053959373,473860575.8,92.03,8.16
20150303,3579.32,3504.2,2618664.89,32.18130235,62.33142477,97.064,3488.54502,3509.5663,8.417,3545.4064,195.48,5.901425544,0.021031386,-67552863.99,92.28,8.32
20150304,3514.67,3497.17,1996639.81,31.71887897,48.78497248,43.74,3492.571399,3519.2361,8.5,3555.825,184.901,5.526161556,0.024908647,-72331565.02,92.0981,8.35
20150305,3513.25,3467.68,2175088.05,28.24473098,8.567530719,63.146,3492.930694,3524.5831,17.615,3541.8348,89.401,2.624082645,0.007583922,-110110053.9,92.0813,8.02
20150306,3501.18,3472.39,1815180.54,23.77908533,-13.67887211,43.851,3491.558247,3525.4523,-87.775,3522.9702,44.396,1.29278966,-0.005990313,-331824916.7,92.69,7.97
20150309,3449.7,3417.49,2339404.11,24.73427367,-10.10258279,129.219,3495.957462,3529.279,-35.093,3510.2672,94.876,2.755720947,0.004360964,-66520185.32,92.56,8.07
20150310,3523.64,3511.99,1942676.57,23.83355486,32.95954592,39.22,3498.305418,3529.1079,-80.654,3512.8094,50.783,1.463559577,0.011896231,-14705439.42,93.03,8.09
20150311,3524.58,3512.22,1889478.25,23.17869476,39.74013059,56.698,3500.814711,3533.7003,16.753,3511.5756,25.17,0.719249101,-0.011676544,-42629411.27,92.77,8.1
20150312,3557.69,3536.53,2656646.25,27.84122096,130.7230915,78.688,3509.579406,3536.3552,62.022,3530.8756,70.522,2.002145176,0.005566899,246411925.3,94.1813,8
20150313,3604.67,3594.74,2468647.68,33.15630307,174.3825946,48.548,3519.87251,3540.8366,121.313,3558.703,138.928,3.993642506,0.004531109,335350589.7,95.011,7.86
20150316,3641.77,3621.12,2754383.07,43.96375142,199.4945043,88.082,3537.567604,3551.2772,227.151,3592.2872,139.376,3.908145568,0.053369822,427041053.9,94.0169,8.04
20150317,3733.96,3716.81,3716256.66,56.03446734,213.4416009,56.904,3558.477547,3576.1994,219.372,3639.5894,184.279,5.157769317,0.060232274,725002570,94.6236,8.16
20150318,3769.09,3763.85,4151900.11,71.94738189,208.1985228,88.933,3585.865875,3607.7227,325.444,3703.8698,244.79,6.797333715,0.090927197,1363994719,94.7276,8
20150319,3851.25,3809.71,3915476.3,83.09101145,160.6802731,49.42,3610.044268,3642.0622,315.086,3753.2488,331.839,9.459762251,0.094073842,1360065186,94.8737,7.53
20150320,3852.49,3832.42,4018175.52,95.08962707,143.2077618,84.447,3636.951862,3683.4676,299.73,3808.2322,361.752,10.24554622,0.09115408,1461903544,94.59,7.9
20150323,3923.08,3922.21,3911199.22,109.7474527,142.7814859,79.722,3668.867018,3726.8987,354.404,3861.5102,475.717,13.60612686,0.113656361,1698644019,93.63,7.79
20150324,3980.07,3883.78,4685813.12,120.0593964,114.7394912,106.076,3697.836445,3772.1422,267.375,3904.695,494.526,14.21656337,0.112858749,1589340701,94.42,7.81
20150325,3961.58,3913.99,3799688.51,124.1670742,95.99148252,66.728,3720.938879,3813.7181,183.29,3923.5664,402.662,11.38186701,0.088206005,1444362313,93.54,7.77
20150326,3921.75,3892.88,3467563.15,126.7351059,84.35102803,99.119,3742.754128,3849.4336,103.944,3945.6184,429.388,12.19640568,0.084137236,1504683192,94.69,7.64
20150327,3957.54,3932.87,2987560.64,129.0337164,82.92266767,60.162,3764.558211,3884.8376,131.958,3961.443,447.044,12.68334784,0.066980437,1460397741,94.5716,8.13
20150330,3999.02,3999.02,4282970.2,138.6560839,116.7930278,129.954,3795.379143,3923.0883,195.604,3984.6664,495.334,13.78668264,0.080978861,1763205199,94.7304,7.85
20150331,4138.89,4037.77,4360656.35,141.6653567,116.339635,128.247,3819.743416,3952.4965,79.143,4000.298,433.547,11.98419308,0.05063902,1593326962,94.8317,7.79
20150401,4057.5,4046.94,3295128.53,148.2073413,116.4809243,92.56,3848.710233,3980.2805,150.849,4036.9946,418.224,11.28605319,0.068904761,1640894169,94.1922,7.96
20150402,4149.95,4068.65,3390704.87,151.7141345,118.7029382,88.193,3875.002211,4008.7842,184.364,4071.95,367.654,9.785522003,0.056294451,1494779266,94.1781,7.75
20150403,4104.67,4092.38,3213037.66,156.3832159,122.4768311,78.175,3903.148477,4036.5806,220.539,4111.7182,324.483,8.436774825,0.047590263,1778364952,94.3524,7.93
20150407,4213.89,4197.02,4153626.54,165.399263,150.4314472,89.933,3937.138526,4065.3789,288.347,4146.0914,420.305,10.94618671,0.067369727,2329437951,94.1335,8.05
20150408,4277.45,4204.83,4586767.15,173.4307954,140.8845656,99.954,3971.297048,4097.6546,207.625,4195.0112,403.229,10.35892959,0.082729818,2339913422,94.3843,8.05
20150409,4316.96,4212.61,4396999.02,175.0613602,124.1605804,119.555,3998.996186,4129.8272,210.934,4222.6598,290.077,7.302934169,0.073235311,2212718563,94.3069,7.9
20150410,4249.38,4231.2,3481901.7,180.9073542,128.3355971,120.491,4031.893311,4169.2689,220.521,4266.5878,371.37,9.347236352,0.085792659,2581157197,94.54,7.99
20150413,4394.05,4361.59,4341530.36,189.541015,149.5901209,87.608,4068.958043,4214.2065,296.297,4316.6948,480.661,12.19824221,0.075297332,2588327723,94.49,7.97
20150414,4432.13,4385.91,4344321.26,195.5102476,133.432089,88.445,4104.12242,4249.2071,267.646,4352.3228,488.185,12.35911705,0.087193321,2633087440,94.4,7.9
20150415,4439.31,4379.61,4721541.31,193.3584241,104.9377828,96.388,4130.445333,4282.138,120.469,4369.2648,408.816,10.29323234,0.058581723,2344792321,95.2796,7.94
20150416,4355.49,4335.63,4226037.48,200.0813269,111.7668222,178.135,4166.93111,4321.1031,217.743,4419.5464,425.368,10.40483071,0.086134051,2579949442,95.25,7.79
20150417,4578.68,4553.9,5528026.63,209.6568054,156.9729631,116.724,4207.807767,4368.2391,333.998,4469.8904,544.932,13.45111231,0.092599088,2637598239,95.25,7.918
