Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20101230,10303.13,10209.93,1077535744,100.542812,-106.0100766,134.61,10230.5014,10304.981,-117.56,10300.254,-87.85,-0.851526204,-0.007988331,4229452.217,79.52,0.13615
20110104,10352.19,10321.28,1140936064,102.3322335,153.3180537,180.25,10246.46317,10313.662,118.91,10324.036,86.81,0.841892721,0.009066079,14881420.53,79.43,0.13615
20110105,10387.95,10358.01,1146172800,101.1855726,143.2623599,55.44,10259.2543,10321.356,24.78,10328.992,76.94,0.74671263,0.015833122,7468784.012,80.23,0.13615
20110106,10477.52,10477.52,1660233472,111.0193217,262.5669763,149.34,10285.01674,10352.691,237.13,10376.418,313.35,3.067124362,0.015121902,36392676.76,80.84,0.13615
20110107,10506.72,10503.02,1618304512,118.3584776,201.7658223,47.69,10309.39991,10369.742,196.5,10415.718,170.51,1.644178263,0.018457382,39527228.21,81.14,0.13615
20110111,10484.62,10476.29,1384972672,120.3378337,135.2455759,64.75,10328.56944,10386.162,281.76,10472.07,164.2,1.587013168,0.022024265,40213026.41,80.83,0.13615
20110112,10562.28,10502.96,1707480576,120.6863567,123.0964432,73.55,10346.11521,10409.523,114.7,10495.01,233.61,2.272649888,0.014916102,34543460.5,80.02,0.13615
20110113,10593.46,10565.28,1608619392,125.7233322,133.2568401,107.77,10369.31948,10432.9,208.99,10536.808,233.77,2.257340921,0.028058237,35570898.09,79.16,0.13615
20110114,10502.77,10497.26,1708740352,121.0000129,72.49344798,92.5,10381.67381,10453.541,-30.72,10530.664,206.41,2.005415525,0.014715631,36666400.12,79.07,0.13615
20110117,10562.09,10482.69,1267378176,116.2252184,57.06955408,79.7,10393.21535,10469.373,-38.18,10523.028,158.32,1.530469214,0.026082419,21788950.1,79.34,0.13615
20110118,10461.04,10456.71,1263848960,112.4457046,44.47386033,91.5,10405.19294,10498.379,-22.06,10524.688,290.06,2.835685488,0.011491609,27678514.63,78.97,0.13615
20110119,10567.88,10534.02,1385769728,111.2440262,70.43146729,61.7,10419.66028,10514.279,46.42,10533.548,328.18,3.208354352,0.016702504,46172671.9,78.56,0.13615
20110120,10492.32,10421.83,1329395456,99.47890465,-12.0286112,135.27,10421.3412,10519.933,-75.49,10503.058,39.21,0.377088122,-0.008779877,24891202.1,78.83,0.13615
20110121,10459.04,10257.99,1839041024,76.14145723,-117.3160812,203.08,10407.35823,10494.409,-315.24,10458.154,-106.25,-1.023527156,-0.025284033,-6265100.01,78.11,0.13615
20110124,10318.6,10278.81,1340804352,62.62053452,-139.603586,73.42,10401.42983,10474.816,-153.93,10426.604,-184.65,-1.753601222,-0.015752549,5614933.395,78.04,0.13615
20110125,10374.64,10355.8,1428862848,60.83120152,-45.56938485,135.13,10407.42889,10470.19,-38.44,10415.692,-76.62,-0.72687325,-0.004602009,12940823.21,77.93,0.13615
20110126,10410.29,10392.46,1109796608,53.74871896,-72.07064971,71.96,10406.90233,10459.1,-117.08,10384.652,-139.14,-1.319983607,-0.017739779,12002734.78,77.7,0.13615
20110127,10466.34,10421.75,1452973056,53.71054921,-12.81205333,94.5,10413.7364,10447.99,-78.44,10392.922,-32.02,-0.304642516,-0.00194113,22089864.62,77.72,0.13615
20110128,10460.29,10332.65,1507409664,43.62992563,-77.40719275,147.43,10408.65102,10434.12,-76.97,10410.086,-152.46,-1.450232098,-0.013569637,1909786.878,78.15,0.13615
20110131,10219.98,10182.57,1460456832,25.46909603,-180.2614971,177.77,10392.39093,10407.626,-36.6,10388.648,-351.84,-3.3224549,-0.026719321,5478344.408,77.75,0.13615
20110201,10281.55,10245.75,1490132096,13.86834241,-118.1849431,61.46,10381.16322,10383.178,-70.61,10350.664,-224.54,-2.138671726,-0.026768715,2484866.947,77,0.13615
20110202,10368.48,10366.96,1805150848,19.20851159,13.98399542,205.25,10388.42006,10373.204,112.25,10361.756,-41.68,-0.396988677,0.00191731,10464135.95,77.08,0.13615
20110203,10424.68,10409.84,1507235968,21.09943034,17.51760699,47.52,10392.50957,10372.609,86.25,10352.296,-67.68,-0.644630366,0.015035432,18986586.07,77.76,0.13615
